Date,5115_Qm,5115_Qs,5105_Qm,5105_Qs,5094_Qm,5094_Qs,5765_Qm,5765_Qs,5092_Qm,5092_Qs,5135_Qm,5135_Qs,5132_Qm,5132_Qs,5151_Qm,5151_Qs,5085_Qm,5085_Qs,5122_Qm,5122_Qs,5171_Qm,5171_Qs,5736_Qm,5736_Qs,5211_Qm,5211_Qs,5208_Qm,5208_Qs,5239_Qm,5239_Qs,5238_Qm,5238_Qs
20080101,453.100,204.844,20.000,21.458,18.200,6.053,2.590,3.920,5.310,1.341,2.840,1.591,3.180,1.337,2.070,1.812,2.570,.243,.440,.358,.320,.246,.450,1.394,1.460,4.358,.610,.262,.290,1.764,.240,.658
20080102,453.100,202.882,19.900,21.167,17.700,5.996,2.600,3.878,5.280,1.340,2.830,1.589,3.130,1.337,2.030,1.791,2.560,.243,.440,.358,.310,.246,.450,1.376,1.430,4.326,.600,.263,.280,1.733,.230,.647
20080103,453.100,200.987,19.700,20.888,17.100,5.942,2.610,3.838,5.260,1.340,2.810,1.587,3.070,1.337,1.980,1.770,2.550,.243,.440,.358,.300,.246,.450,1.358,1.410,4.295,.590,.263,.270,1.703,.230,.636
20080104,453.100,199.156,19.500,20.622,16.600,5.891,2.620,3.799,5.230,1.339,2.800,1.585,3.020,1.337,1.940,1.750,2.550,.243,.450,.358,.290,.246,.450,1.340,1.380,4.265,.580,.264,.260,1.675,.230,.626
20080105,453.100,197.389,19.400,20.368,16.000,5.841,2.630,3.763,5.210,1.339,2.780,1.584,2.960,1.337,1.900,1.731,2.540,.243,.450,.358,.280,.246,.450,1.323,1.360,4.236,.580,.265,.250,1.648,.230,.617
20080106,453.100,195.682,19.200,20.125,15.500,5.794,2.640,3.727,5.180,1.339,2.760,1.582,2.910,1.336,1.860,1.713,2.530,.243,.450,.359,.270,.246,.450,1.306,1.330,4.206,.570,.265,.240,1.622,.220,.607
20080107,453.100,194.033,19.000,19.893,14.900,5.749,2.650,3.693,5.160,1.338,2.750,1.581,2.850,1.336,1.820,1.696,2.520,.243,.450,.359,.260,.246,.450,1.289,1.310,4.177,.560,.266,.230,1.598,.220,.598
20080108,449.300,192.437,18.800,19.670,14.400,5.705,2.650,3.660,5.130,1.338,2.730,1.579,2.790,1.336,1.770,1.679,2.510,.243,.450,.359,.250,.245,.440,1.273,1.280,4.149,.550,.266,.210,1.574,.220,.589
20080109,445.600,190.891,18.700,19.456,13.800,5.662,2.660,3.629,5.110,1.338,2.720,1.578,2.740,1.336,1.730,1.662,2.500,.243,.450,.359,.240,.245,.440,1.257,1.260,4.120,.540,.266,.200,1.551,.210,.581
20080110,445.600,189.391,18.500,19.248,13.300,5.621,2.670,3.598,5.080,1.338,2.700,1.577,2.680,1.336,1.690,1.646,2.500,.243,.450,.359,.230,.245,.440,1.241,1.230,4.092,.530,.267,.190,1.528,.210,.572
20080111,445.600,187.932,18.000,19.047,12.700,5.581,2.680,3.568,5.060,1.337,2.680,1.576,2.630,1.336,1.650,1.631,2.490,.243,.450,.359,.220,.245,.440,1.226,1.160,4.064,.490,.267,.180,1.506,.210,.564
20080112,445.600,186.512,17.400,18.853,12.200,5.543,2.690,3.539,5.030,1.337,2.670,1.575,2.570,1.336,1.610,1.616,2.480,.243,.460,.359,.210,.245,.440,1.211,1.080,4.036,.450,.268,.170,1.486,.200,.557
20080113,449.300,185.130,16.900,18.663,11.600,5.506,2.700,3.510,5.010,1.337,2.650,1.574,2.520,1.336,1.560,1.602,2.470,.243,.460,.359,.200,.245,.440,1.196,1.010,4.009,.410,.268,.160,1.465,.200,.549
20080114,449.300,183.784,16.300,18.480,11.100,5.470,2.710,3.483,4.980,1.337,2.640,1.573,2.470,1.336,1.520,1.588,2.450,.243,.460,.359,.190,.245,.440,1.181,.940,3.982,.370,.268,.150,1.446,.190,.542
20080115,449.300,182.474,15.800,18.301,10.500,5.435,2.720,3.456,4.960,1.337,2.620,1.572,2.420,1.336,1.480,1.575,2.430,.243,.460,.359,.190,.245,.430,1.167,.870,3.955,.330,.269,.140,1.427,.190,.535
20080116,449.300,181.199,15.300,18.128,10.200,5.401,2.660,3.430,4.900,1.337,2.580,1.571,2.370,1.336,1.440,1.562,2.410,.243,.450,.359,.180,.245,.430,1.153,.790,3.929,.290,.269,.130,1.409,.190,.528
20080117,449.300,179.958,14.700,17.959,9.980,5.369,2.600,3.404,4.850,1.336,2.540,1.571,2.320,1.336,1.410,1.549,2.390,.243,.450,.359,.170,.245,.420,1.139,.720,3.902,.250,.269,.120,1.391,.180,.522
20080118,449.300,178.750,14.200,17.795,9.710,5.337,2.540,3.380,4.790,1.336,2.490,1.570,2.270,1.336,1.370,1.537,2.370,.243,.440,.359,.170,.245,.410,1.125,.650,3.876,.220,.269,.100,1.374,.180,.516
20080119,449.300,177.573,13.600,17.635,9.450,5.307,2.480,3.356,4.740,1.336,2.450,1.569,2.220,1.336,1.340,1.526,2.350,.243,.440,.359,.160,.245,.410,1.112,.570,3.851,.180,.270,.094,1.357,.170,.510
20080120,449.300,176.424,13.100,17.479,9.190,5.277,2.420,3.332,4.680,1.336,2.410,1.569,2.160,1.336,1.300,1.515,2.330,.243,.430,.359,.150,.245,.400,1.099,.500,3.825,.140,.270,.083,1.341,.170,.504
20080121,449.300,175.303,12.700,17.328,8.920,5.248,2.360,3.309,4.620,1.336,2.370,1.568,2.110,1.335,1.260,1.504,2.310,.243,.430,.359,.140,.244,.390,1.086,.500,3.800,.097,.270,.083,1.326,.170,.498
20080122,445.600,174.206,12.300,17.180,8.670,5.220,2.300,3.287,4.570,1.336,2.320,1.568,2.060,1.335,1.230,1.493,2.290,.243,.420,.359,.140,.244,.390,1.074,.510,3.775,.058,.270,.083,1.311,.170,.493
20080123,445.600,173.131,11.900,17.037,8.410,5.193,2.240,3.265,4.510,1.336,2.280,1.567,2.010,1.335,1.190,1.483,2.270,.243,.420,.359,.130,.244,.380,1.061,.510,3.751,.055,.270,.083,1.297,.170,.487
20080124,445.600,172.077,11.500,16.897,8.140,5.167,2.180,3.244,4.450,1.336,2.240,1.567,1.960,1.335,1.150,1.473,2.250,.243,.410,.359,.130,.244,.380,1.049,.510,3.726,.052,.270,.083,1.283,.170,.482
20080125,445.600,171.042,11.100,16.761,7.880,5.142,2.120,3.224,4.400,1.336,2.200,1.566,1.910,1.335,1.120,1.464,2.230,.243,.400,.359,.120,.244,.370,1.037,.510,3.702,.050,.271,.083,1.269,.170,.477
