Date,6473_Qm,6473_Qs,6456_Qm,6456_Qs,6479_Qm,6479_Qs,6491_Qm,6491_Qs,6490_Qm,6490_Qs,6497_Qm,6497_Qs,6487_Qm,6487_Qs,6551_Qm,6551_Qs,6478_Qm,6478_Qs,6564_Qm,6564_Qs,6488_Qm,6488_Qs
19660101,41.900,4829.972,6.820,9122.446,3.590,4121.771,2.990,1925.435,.400,1205.306,1.050,772.433,.590,694.832,-99.000,3220.458,-99.000,927.032,-99.000,1291.760,-99.000,326.583
19660102,40.500,14810.169,6.560,9304.331,3.520,4941.112,2.970,2067.401,.390,1215.846,1.020,852.283,.570,660.066,-99.000,1413.114,-99.000,431.368,-99.000,1098.878,-99.000,280.384
19660103,39.100,16817.785,6.300,6353.135,3.440,3801.643,2.960,1688.727,.380,885.160,1.000,753.734,.550,527.020,-99.000,514.114,-99.000,172.767,-99.000,769.195,-99.000,216.786
19660104,37.800,14279.585,6.040,4162.304,3.370,2699.048,2.940,1338.579,.360,616.795,.970,650.860,.530,415.713,-99.000,195.143,-99.000,69.664,-99.000,528.459,-99.000,166.809
19660105,36.400,11195.092,5.770,2792.156,3.290,1903.750,2.920,1059.395,.350,428.527,.950,561.482,.500,328.082,-99.000,80.004,-99.000,28.940,-99.000,363.220,-99.000,128.363
19660106,35.000,8674.384,5.510,1929.936,3.220,1354.466,2.900,839.712,.340,298.582,.920,485.075,.480,259.301,-99.000,35.602,-99.000,12.528,-99.000,250.279,-99.000,98.815
19660107,33.600,6778.063,5.250,1368.679,3.140,974.538,2.880,666.780,.330,208.854,.900,419.772,.460,205.198,-99.000,17.037,-99.000,5.634,-99.000,172.960,-99.000,76.072
19660108,32.200,5365.118,4.980,991.651,3.070,709.266,2.870,530.482,.320,146.745,.880,363.860,.440,162.625,-99.000,8.774,-99.000,2.638,-99.000,119.933,-99.000,58.582
19660109,30.800,4301.690,4.720,731.686,2.990,522.002,2.850,422.942,.310,103.613,.850,315.935,.420,129.090,-99.000,4.873,-99.000,1.316,-99.000,83.469,-99.000,45.132
19660110,29.400,3489.983,4.460,548.481,2.920,388.329,2.830,337.980,.300,73.556,.830,274.783,.400,102.661,-99.000,2.906,-99.000,.707,-99.000,58.335,-99.000,34.798
19660111,28.000,2861.766,4.190,416.906,2.840,291.850,2.810,270.629,.290,52.519,.800,239.340,.370,81.755,-99.000,1.858,-99.000,.424,-99.000,40.948,-99.000,26.832
19660112,26.600,2369.352,3.930,320.704,2.770,221.351,2.790,217.139,.270,37.700,.780,208.766,.350,65.204,-99.000,1.271,-99.000,.282,-99.000,28.841,-99.000,20.695
19660113,25.300,1979.053,3.910,249.314,2.690,169.288,2.780,174.573,.260,27.199,.750,182.346,.330,52.076,-99.000,.928,-99.000,.206,-99.000,20.370,-99.000,15.965
19660114,23.900,1666.717,3.890,195.641,2.620,130.474,2.760,140.661,.250,19.732,.730,159.506,.320,41.637,-99.000,.719,-99.000,.164,-99.000,14.444,-99.000,12.311
19660115,22.500,1414.607,3.860,154.867,2.540,101.303,2.740,113.576,.240,14.418,.700,139.710,.310,33.334,-99.000,.588,-99.000,.140,-99.000,10.308,-99.000,9.493
19660116,21.100,1209.466,3.840,123.594,2.470,79.204,2.670,91.935,.230,10.614,.680,122.525,.300,26.757,-99.000,.505,-99.000,.127,-99.000,7.401,-99.000,7.337
19660117,20.700,1041.294,3.820,99.242,2.410,62.236,2.610,74.501,.220,7.836,.670,107.549,.300,21.460,-99.000,.453,-99.000,.120,-99.000,5.281,-99.000,5.646
19660118,20.300,902.500,3.800,80.216,2.350,49.191,2.540,60.553,.210,5.818,.670,94.557,.290,17.258,-99.000,.419,-99.000,.117,-99.000,3.792,-99.000,4.358
19660119,19.900,787.218,3.780,65.217,2.300,39.084,2.480,49.320,.200,4.337,.660,83.215,.280,13.895,-99.000,.398,-99.000,.115,-99.000,2.717,-99.000,3.361
19660120,19.500,690.876,3.760,53.334,2.240,31.228,2.410,40.235,.180,3.247,.650,73.300,.270,11.192,-99.000,.385,-99.000,.114,-99.000,1.952,-99.000,2.586
19660121,19.100,609.907,3.730,43.878,2.180,25.105,2.350,32.917,.170,2.446,.640,64.654,.260,9.036,-99.000,.378,-99.000,.114,-99.000,1.412,-99.000,1.995
19660122,18.700,541.496,3.710,36.298,2.120,20.299,2.280,26.974,.160,1.853,.640,57.073,.260,7.293,-99.000,.374,-99.000,.114,-99.000,1.024,-99.000,1.532
19660123,18.300,483.396,3.690,30.198,2.060,16.507,2.220,22.147,.150,1.414,.630,50.429,.250,5.894,-99.000,.371,-99.000,.114,-99.000,.749,-99.000,1.176
19660124,18.000,433.797,3.670,25.217,2.010,13.469,2.150,18.159,.140,1.093,.620,44.568,.240,4.720,-99.000,.370,-99.000,.114,-99.000,.552,-99.000,.876
19660125,17.600,391.239,3.650,21.162,1.950,11.044,2.090,14.898,.130,.855,.620,39.425,.230,3.785,-99.000,.370,-99.000,.114,-99.000,.412,-99.000,.653
19660126,17.200,354.543,3.620,17.849,1.890,9.102,2.020,12.221,.120,.676,.610,34.887,.220,3.034,-99.000,.369,-99.000,.114,-99.000,.313,-99.000,.483
19660127,16.800,322.749,3.600,15.101,1.830,7.527,1.960,10.012,.110,.541,.600,30.886,.220,2.414,-99.000,.369,-99.000,.114,-99.000,.247,-99.000,.344
19660128,16.400,295.075,3.580,12.833,1.780,6.257,1.890,8.197,.095,.439,.590,27.358,.210,1.921,-99.000,.369,-99.000,.114,-99.000,.203,-99.000,.243
19660129,16.000,270.888,3.480,10.962,1.720,5.231,1.820,6.722,.083,.361,.590,24.262,.200,1.534,-99.000,.369,-99.000,.114,-99.000,.174,-99.000,.171
19660130,15.600,249.669,3.390,9.412,1.660,4.402,1.760,5.531,.072,.302,.580,21.540,.200,1.220,-99.000,.369,-99.000,.114,-99.000,.154,-99.000,.115
19660131,15.000,230.993,3.290,8.131,1.630,3.738,1.690,4.572,.071,.258,.570,19.145,.190,.971,-99.000,.369,-99.000,.114,-99.000,.140,-99.000,.078
19660201,14.400,214.502,3.190,7.067,1.600,3.199,1.630,3.796,.069,.224,.570,17.030,.190,.778,-99.000,.369,-99.000,.114,-99.000,.130,-99.000,.056
19660202,13.800,199.892,3.100,6.180,1.570,2.760,1.560,3.160,.068,.198,.560,15.153,.180,.627,-99.000,.369,-99.000,.114,-99.000,.124,-99.000,.043
19660203,13.300,186.898,3.000,5.441,1.540,2.399,1.500,2.629,.067,.181,.550,13.474,.170,.522,-99.000,.369,-99.000,.114,-99.000,.123,-99.000,.039
19660204,12.700,175.301,2.900,4.820,1.500,2.098,1.430,2.190,.066,.170,.550,11.994,.170,.448,-99.000,.369,-99.000,.114,-99.000,.129,-99.000,.040
19660205,12.100,164.913,2.810,4.291,1.470,1.846,1.370,1.829,.064,.164,.540,10.684,.160,.396,-99.000,.369,-99.000,.114,-99.000,.139,-99.000,.045
19660206,11.500,155.568,2.710,3.829,1.440,1.632,1.300,1.533,.063,.162,.530,9.502,.150,.360,-99.000,.369,-99.000,.114,-99.000,.151,-99.000,.054
19660207,10.900,147.122,2.610,3.437,1.410,1.448,1.270,1.285,.062,.164,.520,8.430,.150,.335,-99.000,.369,-99.000,.114,-99.000,.161,-99.000,.063
19660208,10.300,139.464,2.520,3.111,1.380,1.295,1.170,1.074,.061,.170,.520,7.465,.140,.319,-99.000,.369,-99.000,.114,-99.000,.172,-99.000,.071
19660209,9.760,132.488,2.420,2.830,1.350,1.156,1.110,.894,.059,.179,.510,6.624,.140,.309,-99.000,.369,-99.000,.114,-99.000,.179,-99.000,.078
19660210,9.180,126.114,2.320,2.594,1.320,1.041,1.040,.748,.058,.189,.500,5.922,.130,.302,-99.000,.369,-99.000,.114,-99.000,.186,-99.000,.084
19660211,8.600,120.277,2.230,2.400,1.290,.948,1.010,.639,.057,.200,.500,5.331,.120,.297,-99.000,.374,-99.000,.114,-99.000,.195,-99.000,.088
19660212,8.010,114.926,2.130,2.245,1.260,.876,.980,.565,.056,.210,.490,4.822,.120,.293,-99.000,.380,-99.000,.114,-99.000,.205,-99.000,.091
19660213,7.430,110.016,2.030,2.127,1.230,.823,.950,.520,.054,.220,.480,4.374,.110,.290,-99.000,.384,-99.000,.114,-99.000,.217,-99.000,.093
19660214,7.310,105.503,1.940,2.044,1.190,.786,.920,.498,.053,.231,.470,3.975,.100,.286,-99.000,.386,-99.000,.114,-99.000,.231,-99.000,.094
19660215,7.180,101.347,1.840,1.992,1.160,.764,.890,.493,.050,.242,.470,3.617,.098,.282,-99.000,.380,-99.000,.114,-99.000,.245,-99.000,.096
19660216,7.060,97.511,1.810,1.964,1.130,.753,.860,.502,.048,.254,.460,3.296,.091,.279,-99.000,.381,-99.000,.114,-99.000,.261,-99.000,.097
19660217,6.930,93.956,1.790,1.953,1.100,.748,.830,.521,.046,.267,.450,3.008,.085,.276,-99.000,.383,-99.000,.114,-99.000,.276,-99.000,.097
19660218,6.810,90.653,1.760,1.953,1.070,.748,.800,.549,.043,.282,.450,2.749,.079,.274,-99.000,.378,-99.000,.114,-99.000,.289,-99.000,.098
19660219,6.680,87.568,1.740,1.957,1.040,.749,.780,.580,.040,.297,.440,2.516,.072,.271,-99.000,.375,-99.000,.114,-99.000,.302,-99.000,.098
19660220,6.560,84.679,1.710,1.963,1.010,.750,.750,.612,.038,.312,.440,2.306,.066,.269,-99.000,.378,-99.000,.114,-99.000,.312,-99.000,.099
19660221,6.430,81.966,1.690,1.967,.980,.752,.720,.642,.036,.326,.430,2.118,.060,.268,-99.000,.382,-99.000,.114,-99.000,.319,-99.000,.099
19660222,6.310,79.413,1.660,1.968,.950,.753,.690,.667,.033,.338,.420,1.948,.065,.266,-99.000,.387,-99.000,.114,-99.000,.325,-99.000,.099
19660223,6.180,77.007,1.640,1.968,.920,.756,.660,.687,.028,.349,.420,1.795,.071,.265,-99.000,.392,-99.000,.114,-99.000,.329,-99.000,.099
19660224,6.060,74.731,1.610,1.967,.880,.760,.630,.702,.026,.358,.410,1.658,.076,.264,-99.000,.395,-99.000,.114,-99.000,.332,-99.000,.100
19660225,5.930,72.585,1.590,1.969,.850,.767,.600,.714,.023,.364,.410,1.534,.082,.263,-99.000,.398,-99.000,.121,-99.000,.334,-99.000,.100
19660226,5.810,70.543,1.560,1.973,.820,.777,.570,.722,.020,.369,.400,1.422,.087,.262,-99.000,.403,-99.000,.133,-99.000,.335,-99.000,.100
19660227,5.680,68.563,1.540,1.982,.790,.791,.540,.728,.020,.372,.400,1.321,.093,.262,-99.000,.413,-99.000,.145,-99.000,.336,-99.000,.100
19660228,5.560,66.696,1.510,1.995,.760,.809,.510,.732,.018,.375,.390,1.231,.098,.261,-99.000,.428,-99.000,.156,-99.000,.336,-99.000,.100
19660301,5.590,64.931,1.490,2.012,.730,.828,.500,.735,.017,.376,.370,1.149,.100,.261,-99.000,.447,-99.000,.165,-99.000,.337,-99.000,.100
19660302,5.610,63.261,1.460,2.033,.690,.851,.500,.737,.016,.377,.360,1.075,.110,.260,-99.000,.466,-99.000,.171,-99.000,.337,-99.000,.100
19660303,5.640,61.674,1.440,2.058,.660,.877,.490,.739,.016,.378,.340,1.008,.110,.260,-99.000,.483,-99.000,.175,-99.000,.337,-99.000,.100
19660304,5.660,60.161,1.410,2.087,.630,.909,.480,.740,.015,.379,.330,.948,.120,.260,-99.000,.498,-99.000,.178,-99.000,.337,-99.000,.100
19660305,5.690,58.713,1.390,2.122,.600,.948,.470,.741,.014,.379,.310,.893,.120,.259,-99.000,.509,-99.000,.179,-99.000,.337,-99.000,.100
19660306,5.710,57.321,1.360,2.165,.560,.994,.460,.741,.014,.379,.300,.844,.130,.259,-99.000,.516,-99.000,.180,-99.000,.337,-99.000,.100
19660307,5.740,55.982,1.330,2.216,.530,1.047,.460,.741,.013,.379,.280,.800,.130,.259,-99.000,.521,-99.000,.180,-99.000,.337,-99.000,.100
19660308,5.760,54.690,1.310,2.275,.500,1.103,.450,.742,.012,.379,.270,.760,.130,.259,-99.000,.523,-99.000,.180,-99.000,.337,-99.000,.100
19660309,5.790,53.441,1.280,2.341,.470,1.160,.440,.742,.011,.379,.250,.723,.140,.259,-99.000,.525,-99.000,.180,-99.000,.337,-99.000,.100
19660310,5.810,52.234,1.260,2.410,.430,1.216,.440,.742,.011,.379,.240,.690,.140,.259,-99.000,.526,-99.000,.180,-99.000,.337,-99.000,.100
19660311,5.840,51.066,1.230,2.479,.400,1.269,.430,.742,.010,.379,.220,.661,.140,.259,-99.000,.526,-99.000,.180,-99.000,.337,-99.000,.100
